#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2015. All rights reserved 
#Raw data export format
#Ver 1.00
#
#Bluetooth Address,78:61:7C:64:49:60
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2019/01/09 14:18:09.987, 0.0, 0.0, -0.001055766380751777, 0.0, 0.0024770833358971345, 0.005477427827487169, -0.004953303229056516, -8.600896649468837E-5, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.081, 0.1, 0.00838046144358695, 0.0010641517989102844, 0.0, 0.02236771125812309, 0.08784225537733104, 0.0321847729327942, 0.07530583405483737, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.174, 0.2, 0.013899691855415952, 0.003184069978572198, 0.0, 0.024859612630409256, 0.07925856228205852, 0.0321847729327942, 0.06717354708996659, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.270, 0.3, 0.01313994237321936, 0.0042440290684031545, 0.0, 0.024859612630409256, 0.05359554614945683, 0.024735057127026838, 0.045551891774951336, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.370, 0.4, 0.00919599513913676, 0.0038688689210101936, 0.0, 0.019877051181714567, 0.02523472138712446, 0.01481933746675601, 0.026709339192699577, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.469, 0.5, 0.005240037595925691, 0.0029121227628608657, 0.0, 0.0099267991416645, -0.025412869807153626, -0.0024859950122002594, -0.010764069618602434, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.563, 0.6, 0.0014839950868518667, 0.0018459428413947368, 0.0, -3.6907164826516237E-6, -0.07278017864151831, -0.02219045401158315, -0.050604917864486954, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.659, 0.7, -0.0028785038509118732, 1.445399198825581E-4, 0.0, 0.012412506376553889, 0.002661319614492008, 0.0024522769941626166, -8.600896649468837E-5, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.757, 0.8, -0.006196603702664986, -9.716971288065639E-4, 0.0, 0.029847144216036625, 0.07354427594580937, 0.03467048016768359, 0.06446572140775375, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.856, 0.9, -0.006942937912047453, -6.969307373287936E-4, 0.0, 0.029847144216036625, 0.07354427594580937, 0.03467048016768359, 0.059054465468329376, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:10.954, 1.0, -0.0064909266600132135, -3.0172719739576044E-4, 0.0, 0.029847144216036625, 0.05359554614945683, 0.027217062638405398, 0.04285574719627583, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:11.098, 1.1, -0.007060147058064496, -4.4740046427368024E-4, 0.0, 0.02236771125812309, 0.030894031555541268, 0.01977473925988482, 0.024023333218891718, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:11.198, 1.2, -0.008440959060786261, -9.136122407516959E-4, 0.0, 0.012412506376553889, -0.025412869807153626, 0.0024522769941626166, -0.016094560528590485, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:11.292, 1.3, -0.010277280315243489, -0.0016515396882139971, 0.0, 0.007442327040855901, -0.03939107292849009, -0.009884270098130532, -0.026738524101197925, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:11.394, 1.4, -0.01176313706603948, -0.002456256869118967, 0.0, 0.02735275653646596, 0.06498507271442655, 0.029700300831985604, 0.05364905953646648, 0, 0, 0, 0, 0, 0
2019/01/09 14:18:11.491, 1.5, -0.011938449961265557, -0.0025923540737068096, 0.0, 0.0348396558639843, 0.08784225537733104, 0.04213502497284427, 0.07530583405483737, 0, 0, 0, 0, 0, 0
